"","X1","X2","X3","X4","X5","X6"
"1",-0.45,-0.41,1.09,0.45,0,NA
"2",-0.56,-0.31,1.51,0.16,0,NA
"3",0.06,0.02,1.01,0.4,0,NA
"4",-0.07,-0.09,1.45,0.26,0,NA
"5",-0.1,-0.09,1.56,0.67,0,NA
"6",-0.14,-0.07,0.71,0.28,0,NA
"7",0.04,0.01,1.5,0.71,0,NA
"8",-0.07,-0.06,1.37,0.4,0,NA
"9",0.07,-0.01,1.37,0.34,0,NA
"10",-0.14,-0.14,1.42,0.43,0,NA
"11",-0.23,-0.3,0.33,0.18,0,NA
"12",0.07,0.02,1.31,0.25,0,NA
"13",0.01,0,2.15,0.7,0,NA
"14",-0.28,-0.23,1.19,0.66,0,NA
"15",0.15,0.05,1.88,0.27,0,NA
"16",0.37,0.11,1.99,0.38,0,NA
"17",-0.08,-0.08,1.51,0.42,0,NA
"18",0.05,0.03,1.68,0.95,0,NA
"19",0.01,0,1.26,0.6,0,NA
"20",0.12,0.11,1.14,0.17,0,NA
"21",-0.28,-0.27,1.27,0.51,0,NA
"22",0.51,0.1,2.49,0.54,1,NA
"23",0.08,0.02,2.01,0.53,1,NA
"24",0.38,0.11,3.27,0.35,1,NA
"25",0.19,0.05,2.25,0.33,1,NA
"26",0.32,0.07,4.24,0.63,1,NA
"27",0.31,0.05,4.45,0.69,1,NA
"28",0.12,0.05,2.52,0.69,1,NA
"29",-0.02,0.02,2.05,0.35,1,NA
"30",0.22,0.08,2.35,0.4,1,NA
"31",0.17,0.07,1.8,0.52,1,NA
"32",0.15,0.05,2.17,0.55,1,NA
"33",-0.1,-0.01,2.5,0.58,1,NA
"34",0.14,-0.03,0.46,0.26,1,NA
"35",0.14,0.07,2.61,0.52,1,NA
"36",0.15,0.06,2.23,0.56,1,NA
"37",0.16,0.05,2.31,0.2,1,NA
"38",0.29,0.06,1.84,0.38,1,NA
"39",0.54,0.11,2.33,0.48,1,NA
"40",-0.33,-0.09,3.01,0.47,1,NA
"41",0.48,0.09,1.24,0.18,1,NA
"42",0.56,0.11,4.29,0.44,1,NA
"43",0.2,0.08,1.99,0.3,1,NA
"44",0.47,0.14,2.92,0.45,1,NA
"45",0.17,0.04,2.45,0.14,1,NA
"46",0.58,0.04,5.06,0.13,1,NA
