FECHA,MER,PED,TLA,XAL,LOM,LPR,NEZ,SHA,UIZ
04/01/2020,63,51,63,81,47,-99,59,-99,65
10/01/2020,55,37,63,104,39,75,64,-99,-99
16/01/2020,65,51,69,81,52,68,53,-99,58
22/01/2020,53,34,49,104,-99,74,59,-99,56
28/01/2020,35,21,38,-99,23,51,44,-99,43
03/02/2020,34,-99,36,57,22,65,-99,-99,-99
09/02/2020,36,22,40,69,20,61,39,-99,34
15/02/2020,57,40,-99,83,45,72,52,-99,55
21/02/2020,57,44,58,61,37,45,52,-99,50
27/02/2020,63,56,76,-99,56,74,51,-99,55
04/03/2020,69,29,49,69,31,51,45,-99,46
10/03/2020,82,56,62,82,49,72,58,-99,61
16/03/2020,43,-99,44,43,33,43,52,-99,39
22/03/2020,51,32,40,55,31,51,38,-99,38
28/03/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
03/04/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/04/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/04/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/04/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
27/04/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
03/05/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/05/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/05/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/05/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
27/05/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/06/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/06/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/06/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
20/06/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
26/06/2020,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/07/2020,-99,-99,-99,-99,-99,41,-99,-99,-99
08/07/2020,-99,-99,-99,-99,-99,19,-99,-99,-99
14/07/2020,34,27,24,-99,-99,40,-99,-99,33
20/07/2020,35,25,22,-99,-99,44,-99,-99,38
26/07/2020,17,13,12,-99,-99,20,-99,-99,14
01/08/2020,26,16,17,-99,-99,-99,-99,-99,25
07/08/2020,23,18,20,-99,-99,18,-99,-99,21
13/08/2020,30,19,20,-99,-99,-99,-99,-99,31
19/08/2020,34,28,21,-99,-99,31,-99,-99,34
25/08/2020,18,13,11,-99,-99,11,-99,-99,18
31/08/2020,19,15,18,-99,-99,25,-99,-99,-99
06/09/2020,11,9,10,-99,-99,-99,-99,-99,10
12/09/2020,27,24,22,-99,-99,25,-99,-99,26
18/09/2020,17,13,10,-99,-99,8,-99,-99,16
24/09/2020,-99,21,28,-99,-99,40,-99,-99,40
30/09/2020,-99,-99,32,-99,-99,41,-99,-99,-99
