,Acapulco,Aguascalientes,Campeche,Cd. Juárez,Cd. Victoria,Chetumal,Chihuahua,Ciudad de México,Coatzacoalcos,Colima,Guadalajara,Guanajuato,Puebla,Culiacán,Mexicali,Monterrey
Acapulco,0,888,1437,2199,1101,1629,1848,390,905,704,900,743,429,1583,2943,1276
Aguascalientes,888,0,1625,1310,516,1817,959,505,1093,426,236,185,622,920,2279,691
Campeche,1437,1625,0,2904,1586,379,2553,1132,545,1850,1660,1480,1008,2344,3703,2012
Cd. Juárez,2199,1310,2904,0,1485,3096,351,1785,2372,1736,1547,1495,1901,1490,1102,1167
Cd. Victoria,1101,516,1586,1485,0,1779,1133,718,1054,860,671,499,748,1354,2630,324
Chetumal,1629,1817,379,3096,1779,0,2745,1324,738,2042,1873,1672,1200,2536,3895,2204
Chihuahua,1848,959,2553,351,1133,2745,0,1433,2021,1385,1195,1144,1550,1138,1231,815
Ciudad de México,390,505,1132,1785,718,1324,1433,0,276,976,786,630,315,1470,2829,1162
Coatzacoalcos,905,1093,545,2372,1054,738,2021,276,0,1318,194,473,847,870,2230,1034
Colima,704,426,1850,1736,860,2042,1385,976,1318,0,194,473,847,870,2230,1034
Guadalajara,900,236,1660,1547,671,1873,1195,786,1129,194,0,284,658,688,2047,845
Guanajuato,743,185,1480,1495,499,1672,1144,630,948,473,284,0,477,967,2327,673
Puebla,429,622,1008,1901,748,1200,1550,315,476,847,658,477,0,1341,2700,1012
Culiacán,1583,920,2344,1490,1354,2536,1138,1470,1812,870,688,967,1341,0,1388,1049
Mexicali,2943,2279,3703,1102,2630,3895,1231,2829,3171,2230,2047,2327,2700,1388,0,2047
Monterrey,1276,691,2012,1167,324,2204,815,1162,1480,1034,845,673,1012,1049,2047,0
